Deck Size,Hand Size,Trial,Attempt,Time (sec)
24,6,1,1737963, 8.139
24,6,2,1816545, 7.754
24,6,3,1738768, 6.524
24,6,4,1577089, 5.919
24,6,5,1730919, 6.600
24,7,1,4225576, 26.629
24,7,2,4513896, 28.475
24,7,3,4825845, 29.024
24,7,4,4244953, 24.726
24,7,5,4113130, 25.757
28,6,1,5921683, 26.745
28,6,2,5056387, 23.571
28,6,3,4660879, 21.568
28,6,4,6431164, 30.890
28,6,5,5017808, 24.640
28,7,1,19750358, 171.169
28,7,2,19433659, 190.291
28,7,3,16294079, 147.767
28,7,4,18036394, 160.058
28,7,5,15592952, 141.439
